,date,numTweets,pandemic,dayOfWeek,score
187,2014-07-07,12,0,Monday,0.06418055555555556
188,2014-07-08,17,0,Tuesday,-0.08994901960784313
189,2014-07-09,12,0,Wednesday,-0.04295916666666668
190,2014-07-10,4,0,Thursday,0.480475
191,2014-07-11,8,0,Friday,0.15091875
192,2014-07-12,8,0,Saturday,0.1403083333333333
193,2014-07-13,1,0,Sunday,0.1591
194,2014-07-14,4,0,Monday,0.199425
195,2014-07-15,5,0,Tuesday,0.08105
196,2014-07-16,8,0,Wednesday,-0.011912500000000006
197,2014-07-17,6,0,Thursday,0.05837499999999999
198,2014-07-18,5,0,Friday,0.12497333333333334
199,2014-07-19,2,0,Saturday,-0.21326666666666666
200,2014-07-20,4,0,Sunday,0.09316666666666666
201,2014-07-21,6,0,Monday,-0.002866666666666647
202,2014-07-22,16,0,Tuesday,0.12834166666666666
203,2014-07-23,10,0,Wednesday,0.04006000000000002
204,2014-07-24,15,0,Thursday,-0.12669166666666667
205,2014-07-25,9,0,Friday,-0.012650925925925923
206,2014-07-26,3,0,Saturday,-0.020311111111111124
207,2014-07-27,6,0,Sunday,0.079675
208,2014-07-28,8,0,Monday,-0.044802083333333347
209,2014-07-29,8,0,Tuesday,0.03468125000000001
210,2014-07-30,12,0,Wednesday,0.06814722222222223
211,2014-07-31,18,0,Thursday,-0.0004865740740740683
212,2014-08-01,7,0,Friday,0.0946392857142857
213,2014-08-02,9,0,Saturday,0.10289074074074074
214,2014-08-03,3,0,Sunday,-0.17406666666666668
215,2014-08-04,0,0,Monday,0.0
216,2014-08-05,13,0,Tuesday,-0.1356423076923077
217,2014-08-06,32,0,Wednesday,-0.00018645833333332754
218,2014-08-07,15,0,Thursday,0.042545555555555545
219,2014-08-08,6,0,Friday,-0.006836111111111103
220,2014-08-09,6,0,Saturday,-0.011466666666666651
221,2014-08-10,4,0,Sunday,0.02749375
222,2014-08-11,4,0,Monday,0.02989
223,2014-08-12,15,0,Tuesday,-0.03862333333333333
224,2014-08-13,13,0,Wednesday,-0.16921858974358972
225,2014-08-14,8,0,Thursday,-0.044378333333333325
226,2014-08-15,10,0,Friday,-0.07904333333333334
227,2014-08-16,4,0,Saturday,0.20615
228,2014-08-17,21,0,Sunday,0.0244531746031746
229,2014-08-18,32,0,Monday,0.03967833333333334
230,2014-08-19,32,0,Tuesday,0.021596874999999995
231,2014-08-20,18,0,Wednesday,0.09987916666666666
232,2014-08-21,15,0,Thursday,0.10743666666666668
233,2014-08-22,3,0,Friday,0.10196666666666666
234,2014-08-23,6,0,Saturday,-0.010600000000000007
235,2014-08-24,4,0,Sunday,-0.0949375
236,2014-08-25,9,0,Monday,0.12531666666666666
237,2014-08-26,6,0,Tuesday,0.3110111111111111
238,2014-08-27,7,0,Wednesday,0.10301714285714283
239,2014-08-28,12,0,Thursday,-0.04534444444444446
240,2014-08-29,10,0,Friday,0.12356833333333335
241,2014-08-30,7,0,Saturday,0.06125714285714286
242,2014-08-31,34,0,Sunday,0.08911151960784316
243,2014-09-01,26,0,Monday,0.05020320512820513
244,2014-09-02,24,0,Tuesday,-0.05550833333333335
245,2014-09-03,20,0,Wednesday,-0.06985749999999999
246,2014-09-04,31,0,Thursday,0.0656271505376344
247,2014-09-05,28,0,Friday,0.07591309523809524
248,2014-09-06,18,0,Saturday,0.0312912037037037
249,2014-09-07,3,0,Sunday,0.05903333333333335
250,2014-09-08,11,0,Monday,0.050625
251,2014-09-09,12,0,Tuesday,-0.0012875000000000015
252,2014-09-10,11,0,Wednesday,-0.010407575757575765
253,2014-09-11,13,0,Thursday,-0.12754282051282054
254,2014-09-12,9,0,Friday,0.08062037037037036
255,2014-09-13,7,0,Saturday,0.16424285714285716
256,2014-09-14,10,0,Sunday,-0.03736999999999999
257,2014-09-15,30,0,Monday,0.03009472222222221
258,2014-09-16,10,0,Tuesday,0.11533833333333332
259,2014-09-17,14,0,Wednesday,-0.04672857142857142
260,2014-09-18,10,0,Thursday,0.036195
261,2014-09-19,8,0,Friday,0.1581125
262,2014-09-20,6,0,Saturday,-0.06491666666666666
263,2014-09-21,5,0,Sunday,0.19070000000000004
264,2014-09-22,4,0,Monday,-0.1656625
265,2014-09-23,12,0,Tuesday,0.15235694444444445
266,2014-09-24,9,0,Wednesday,0.04184444444444445
267,2014-09-25,15,0,Thursday,-0.14229944444444442
268,2014-09-26,9,0,Friday,-0.09911388888888889
269,2014-09-27,9,0,Saturday,0.04002407407407407
270,2014-09-28,5,0,Sunday,0.041286666666666666
271,2014-09-29,11,0,Monday,-0.011093939393939394
272,2014-09-30,51,0,Tuesday,-0.050570098039215694
273,2014-10-01,20,0,Wednesday,-0.11484100000000001
274,2014-10-02,13,0,Thursday,0.030189743589743592
275,2014-10-03,15,0,Friday,0.12503533333333333
276,2014-10-04,8,0,Saturday,0.11171874999999999
277,2014-10-05,7,0,Sunday,0.03838809523809523
278,2014-10-06,22,0,Monday,0.05893522727272727
279,2014-10-07,15,0,Tuesday,0.0025522222222222187
280,2014-10-08,12,0,Wednesday,-0.16730555555555557
281,2014-10-09,6,0,Thursday,-0.098125
282,2014-10-10,8,0,Friday,0.20542708333333332
283,2014-10-11,9,0,Saturday,-0.021661111111111107
284,2014-10-12,4,0,Sunday,0.139
285,2014-10-13,3,0,Monday,0.0
286,2014-10-14,12,0,Tuesday,-0.009952777777777783
287,2014-10-15,10,0,Wednesday,-0.021519999999999994
288,2014-10-16,10,0,Thursday,-0.1609
289,2014-10-17,5,0,Friday,0.10686900000000002
290,2014-10-18,11,0,Saturday,-0.07780530303030303
291,2014-10-19,3,0,Sunday,0.4424666666666666
292,2014-10-20,14,0,Monday,0.06285119047619046
293,2014-10-21,8,0,Tuesday,-0.015308333333333327
294,2014-10-22,6,0,Wednesday,0.13493333333333332
295,2014-10-23,9,0,Thursday,0.0253537037037037
296,2014-10-24,9,0,Friday,0.08658703703703705
297,2014-10-25,7,0,Saturday,-0.27549285714285715
298,2014-10-26,9,0,Sunday,0.26488333333333336
299,2014-10-27,6,0,Monday,-0.05712222222222221
300,2014-10-28,19,0,Tuesday,-0.01211842105263157
301,2014-10-29,15,0,Wednesday,0.08071222222222223
302,2014-10-30,12,0,Thursday,-0.033191666666666675
303,2014-10-31,10,0,Friday,0.02204071428571428
304,2014-11-01,3,0,Saturday,-0.20481666666666667
305,2014-11-02,9,0,Sunday,0.01331111111111111
306,2014-11-03,11,0,Monday,-0.02613181818181818
307,2014-11-04,8,0,Tuesday,0.08964895833333333
308,2014-11-05,37,0,Wednesday,0.07437454954954954
309,2014-11-06,8,0,Thursday,0.061126041666666665
310,2014-11-07,7,0,Friday,0.20286666666666667
311,2014-11-08,4,0,Saturday,0.156575
312,2014-11-09,3,0,Sunday,-0.2169777777777778
313,2014-11-10,25,0,Monday,-0.11202033333333335
314,2014-11-11,16,0,Tuesday,0.0160765625
315,2014-11-12,6,0,Wednesday,-0.05578888888888889
316,2014-11-13,13,0,Thursday,-0.07677692307692308
317,2014-11-14,6,0,Friday,0.04676111111111111
318,2014-11-15,5,0,Saturday,-0.06672666666666667
319,2014-11-16,2,0,Sunday,0.13215
320,2014-11-17,9,0,Monday,-0.08581203703703705
321,2014-11-18,16,0,Tuesday,0.03562812499999998
322,2014-11-19,13,0,Wednesday,-0.02725192307692307
323,2014-11-20,16,0,Thursday,0.18791354166666668
324,2014-11-21,18,0,Friday,-0.004426481481481482
325,2014-11-22,8,0,Saturday,0.0007154166666666698
326,2014-11-23,4,0,Sunday,0.1094125
327,2014-11-24,7,0,Monday,-0.25778333333333336
328,2014-11-25,3,0,Tuesday,-0.2881833333333333
329,2014-11-26,6,0,Wednesday,-0.05951666666666666
330,2014-11-27,8,0,Thursday,-0.13603749999999998
331,2014-11-28,14,0,Friday,0.03437202380952381
332,2014-11-29,3,0,Saturday,0.09358888888888889
333,2014-11-30,4,0,Sunday,-0.020599999999999997
334,2014-12-01,5,0,Monday,0.05797
335,2014-12-02,7,0,Tuesday,-0.15771666666666667
336,2014-12-03,9,0,Wednesday,0.1002111111111111
337,2014-12-04,6,0,Thursday,0.06369444444444444
338,2014-12-05,8,0,Friday,-0.03763229166666666
339,2014-12-06,9,0,Saturday,-0.12943333333333332
340,2014-12-07,6,0,Sunday,0.15852777777777777
341,2014-12-08,11,0,Monday,0.09865681818181816
342,2014-12-09,12,0,Tuesday,-0.04189027777777777
343,2014-12-10,15,0,Wednesday,0.03850555555555557
344,2014-12-11,24,0,Thursday,0.105284375
345,2014-12-12,3,0,Friday,-0.05114444444444446
346,2014-12-13,5,0,Saturday,0.017126666666666665
347,2014-12-14,1,0,Sunday,0.0
348,2014-12-15,3,0,Monday,-0.2345666666666667
349,2014-12-16,9,0,Tuesday,0.2589194444444445
350,2014-12-17,9,0,Wednesday,-0.09953703703703703
351,2014-12-18,21,0,Thursday,0.06858333333333333
352,2014-12-19,22,0,Friday,0.06117954545454545
353,2014-12-20,4,0,Saturday,-0.0842125
354,2014-12-21,9,0,Sunday,-0.0038333333333333305
355,2014-12-22,7,0,Monday,-0.10758809523809523
356,2014-12-23,10,0,Tuesday,0.13694
357,2014-12-24,9,0,Wednesday,0.053167222222222206
358,2014-12-25,2,0,Thursday,0.025183333333333335
359,2014-12-26,1,0,Friday,0.31746666666666673
360,2014-12-27,5,0,Saturday,-0.06425666666666667
361,2014-12-28,4,0,Sunday,0.318025
362,2014-12-29,2,0,Monday,0.72265
363,2014-12-30,5,0,Tuesday,0.11522000000000002
364,2014-12-31,5,0,Wednesday,0.114335
365,2015-01-01,8,0,Thursday,0.05815
366,2015-01-02,1,0,Friday,0.2294
367,2015-01-03,3,0,Saturday,0.3371166666666667
368,2015-01-04,7,0,Sunday,0.02408095238095238
369,2015-01-05,8,0,Monday,0.02977083333333333
370,2015-01-06,4,0,Tuesday,0.0
371,2015-01-07,7,0,Wednesday,0.20413809523809526
372,2015-01-08,5,0,Thursday,0.10845666666666669
373,2015-01-09,3,0,Friday,0.0
374,2015-01-10,4,0,Saturday,0.2521416666666667
375,2015-01-11,2,0,Sunday,0.0
376,2015-01-12,5,0,Monday,0.0
377,2015-01-13,6,0,Tuesday,0.13146944444444444
378,2015-01-14,4,0,Wednesday,0.04917499999999999
379,2015-01-15,2,0,Thursday,-0.089875
380,2015-01-16,8,0,Friday,-0.07703750000000001
381,2015-01-17,4,0,Saturday,0.146175
382,2015-01-18,5,0,Sunday,-0.01018
383,2015-01-19,27,0,Monday,0.020390740740740734
384,2015-01-20,7,0,Tuesday,-0.0352
385,2015-01-21,12,0,Wednesday,0.04999166666666668
386,2015-01-22,3,0,Thursday,0.14341666666666666
387,2015-01-23,5,0,Friday,0.12464
388,2015-01-24,5,0,Saturday,-0.16806666666666667
389,2015-01-25,7,0,Sunday,0.022285714285714273
390,2015-01-26,7,0,Monday,0.11252857142857142
391,2015-01-27,4,0,Tuesday,-0.04459166666666668
392,2015-01-28,6,0,Wednesday,0.09914583333333332
393,2015-01-29,12,0,Thursday,0.20290972222222226
394,2015-01-30,11,0,Friday,-0.06356500000000001
395,2015-01-31,3,0,Saturday,0.18055333333333334
396,2015-02-01,3,0,Sunday,0.010866666666666672
397,2015-02-02,28,0,Monday,0.01514226190476191
398,2015-02-03,13,0,Tuesday,0.009855769230769225
399,2015-02-04,11,0,Wednesday,-0.14855757575757575
400,2015-02-05,9,0,Thursday,-0.13042962962962965
401,2015-02-06,4,0,Friday,0.13291875
402,2015-02-07,10,0,Saturday,-0.0032650000000000014
403,2015-02-08,9,0,Sunday,0.09484814814814815
404,2015-02-09,4,0,Monday,-0.0635
405,2015-02-10,8,0,Tuesday,-0.09238125
406,2015-02-11,1,0,Wednesday,0.6369
407,2015-02-12,4,0,Thursday,0.0615875
408,2015-02-13,7,0,Friday,0.07513809523809524
409,2015-02-14,2,0,Saturday,0.024925000000000003
410,2015-02-15,3,0,Sunday,0.30066666666666675
411,2015-02-16,4,0,Monday,0.0524875
412,2015-02-17,9,0,Tuesday,0.016466666666666668
413,2015-02-18,10,0,Wednesday,0.119448
414,2015-02-19,8,0,Thursday,0.01115208333333334
415,2015-02-20,5,0,Friday,-0.057886666666666683
416,2015-02-21,5,0,Saturday,0.06025666666666667
417,2015-02-22,1,0,Sunday,-0.0129
418,2015-02-23,16,0,Monday,0.05399791666666666
419,2015-02-24,13,0,Tuesday,0.0555397435897436
420,2015-02-25,15,0,Wednesday,-0.00833444444444445
421,2015-02-26,10,0,Thursday,0.14513266666666666
422,2015-02-27,4,0,Friday,0.12321249999999999
423,2015-02-28,18,0,Saturday,0.014088888888888885
424,2015-03-01,35,0,Sunday,-0.0038861904761904715
425,2015-03-02,11,0,Monday,0.05378939393939394
426,2015-03-03,15,0,Tuesday,0.08487444444444445
427,2015-03-04,7,0,Wednesday,0.04634285714285714
428,2015-03-05,11,0,Thursday,-0.17342499999999997
429,2015-03-06,14,0,Friday,-0.00040595238095237984
430,2015-03-07,7,0,Saturday,0.04335714285714287
431,2015-03-08,1,0,Sunday,0.237
432,2015-03-09,2,0,Monday,0.39348333333333335
433,2015-03-10,14,0,Tuesday,-0.043195238095238085
434,2015-03-11,6,0,Wednesday,0.04174999999999999
435,2015-03-12,14,0,Thursday,0.10154523809523806
436,2015-03-13,2,0,Friday,-0.04144999999999999
437,2015-03-14,7,0,Saturday,-0.03965142857142858
438,2015-03-15,2,0,Sunday,-0.030850000000000016
439,2015-03-16,5,0,Monday,-0.07578
440,2015-03-17,6,0,Tuesday,-0.11433888888888888
441,2015-03-18,7,0,Wednesday,0.06403571428571429
442,2015-03-19,6,0,Thursday,0.1579611111111111
443,2015-03-20,8,0,Friday,0.021585416666666662
444,2015-03-21,3,0,Saturday,-0.29179166666666667
445,2015-03-22,8,0,Sunday,0.06033541666666666
446,2015-03-23,11,0,Monday,0.2007
447,2015-03-24,50,0,Tuesday,-0.0011418333333333413
448,2015-03-25,10,0,Wednesday,0.17237333333333335
449,2015-03-26,8,0,Thursday,0.16223125
450,2015-03-27,5,0,Friday,-0.043000000000000003
451,2015-03-28,4,0,Saturday,0.3057375
452,2015-03-29,4,0,Sunday,-0.006012500000000003
453,2015-03-30,4,0,Monday,-0.13357916666666664
