date,line,type
09-Feb-19,1,Weekend
10-Feb-19,1,Weekend
23-Feb-19,1,Weekend
24-Feb-19,1,Weekend
04-Mar-19,1,Early closure
05-Mar-19,1,Early closure
06-Mar-19,1,Early closure
07-Mar-19,1,Early closure
10-Mar-19,1,Early closure
11-Mar-19,1,Early closure
12-Mar-19,1,Early closure
13-Mar-19,1,Early closure
16-Mar-19,1,Weekend
17-Mar-19,1,Weekend
18-Mar-19,1,Early closure
19-Mar-19,1,Early closure
20-Mar-19,1,Early closure
21-Mar-19,1,Early closure
23-Mar-19,1,One day
25-Mar-19,1,Early closure
26-Mar-19,1,Early closure
27-Mar-19,1,Early closure
28-Mar-19,1,Early closure
30-Mar-19,1,Weekend
31-Mar-19,1,Weekend
01-Apr-19,1,Early closure
02-Apr-19,1,Early closure
03-Apr-19,1,Early closure
04-Apr-19,1,Early closure
06-Apr-19,1,One day
07-Apr-19,2,One day
13-Apr-19,1,Weekend
14-Apr-19,1,Weekend
15-Apr-19,1,Early closure
16-Apr-19,1,Early closure
17-Apr-19,1,Early closure
18-Apr-19,1,Early closure
24-Apr-19,1,Early closure
25-Apr-19,1,Early closure
27-Apr-19,2,Weekend
28-Apr-19,2,Weekend
04-May-19,2,One day
06-May-19,1,Early closure
07-May-19,1,Early closure
08-May-19,1,Early closure
09-May-19,1,Early closure
11-May-19,1,Weekend
12-May-19,1,Weekend
13-May-19,1,Early closure
14-May-19,1,Early closure
15-May-19,1,Early closure
16-May-19,1,Early closure
18-May-19,3,One day
21-May-19,1,Early closure
22-May-19,1,Early closure
23-May-19,1,Early closure
26-May-19,1,Late opening
01-Jun-19,2,Late opening
03-Jun-19,1,Early closure
04-Jun-19,1,Early closure
06-Jun-19,1,Early closure
08-Jun-19,1,Weekend
09-Jun-19,1,Weekend
11-Jun-19,1,Early closure
12-Jun-19,1,Early closure
13-Jun-19,1,Early closure
18-Jun-19,1,Early closure
19-Jun-19,1,Early closure
06-Jul-19,1,Weekend
07-Jul-19,1,Weekend
13-Jul-19,1,Weekend
14-Jul-19,1,Weekend
15-Jul-19,1,Early closure
16-Jul-19,1,Early closure
17-Jul-19,1,Early closure
18-Jul-19,1,Early closure
20-Jul-19,1,Weekend
21-Jul-19,1,Weekend
10-Aug-19,1,Weekend
11-Aug-19,1,Weekend
17-Aug-19,3,One day
17-Aug-19,1,Weekend
18-Aug-19,1,Weekend
03-Sep-19,1,Early closure
04-Sep-19,1,Early closure
05-Sep-19,1,Early closure
09-Sep-19,1,Early closure
10-Sep-19,1,Early closure
11-Sep-19,1,Early closure
12-Sep-19,1,Early closure
14-Sep-19,1,Weekend
15-Sep-19,1,Weekend
16-Sep-19,1,Early closure
17-Sep-19,1,Early closure
18-Sep-19,1,Early closure
19-Sep-19,1,Early closure
22-Sep-19,2,Late opening
23-Sep-19,1,Early closure
24-Sep-19,1,Early closure
25-Sep-19,1,Early closure
26-Sep-19,1,Early closure
28-Sep-19,1,Weekend
29-Sep-19,1,Weekend
30-Sep-19,2,Early closure
01-Oct-19,2,Early closure
02-Oct-19,2,Early closure
03-Oct-19,2,Early closure
07-Oct-19,1,Early closure
08-Oct-19,1,Early closure
09-Oct-19,1,Early closure
10-Oct-19,1,Early closure
12-Oct-19,2,Weekend
13-Oct-19,2,Weekend
15-Oct-19,2,Early closure
16-Oct-19,2,Early closure
17-Oct-19,2,Early closure
19-Oct-19,1,Weekend
20-Oct-19,1,Weekend
21-Oct-19,2,Early closure
22-Oct-19,2,Early closure
23-Oct-19,2,Early closure
24-Oct-19,2,Early closure
26-Oct-19,1,Weekend
27-Oct-19,1,Weekend
02-Nov-19,2,Weekend
03-Nov-19,2,Weekend
05-Nov-19,2,Early closure
06-Nov-19,2,Early closure
07-Nov-19,2,Early closure
09-Nov-19,1,Weekend
10-Nov-19,1,Weekend
11-Nov-19,1,Early closure
12-Nov-19,1,Early closure
13-Nov-19,1,Early closure
14-Nov-19,1,Early closure
16-Nov-19,1,One day
18-Nov-19,1,Early closure
19-Nov-19,1,Early closure
20-Nov-19,1,Early closure
23-Nov-19,1,Weekend
